N,P,K,ph,crop
90,42.0,43.0,6.502985292000001,rice
85,58.0,41.0,7.038096361,rice
60,55.0,44.0,7.840207144,rice
74,35.0,40.0,6.980400905,rice
78,42.0,42.0,7.628472891,rice
69,37.0,42.0,7.073453503,rice
69,55.0,38.0,5.70080568,rice
94,53.0,40.0,5.718627177999999,rice
89,54.0,38.0,6.685346424,rice
68,58.0,38.0,6.336253525,rice
91,53.0,40.0,5.386167788,rice
90,46.0,42.0,7.50283396,rice
78,58.0,44.0,5.108681786,rice
93,56.0,36.0,6.98435366,rice
94,50.0,37.0,6.94801983,rice
60,48.0,39.0,7.042299068999999,rice
85,38.0,41.0,6.2490506560000005,rice
91,35.0,39.0,6.970859754,rice
77,38.0,36.0,5.953933276,rice
88,35.0,40.0,5.85393208,rice
89,45.0,36.0,6.442475375,rice
76,40.0,43.0,5.070175667,rice
67,59.0,41.0,6.012632591,rice
83,41.0,43.0,6.254028451,rice
98,47.0,37.0,7.375482851,rice
66,53.0,41.0,7.778915154,rice
97,59.0,43.0,6.2865001760000006,rice
97,50.0,41.0,7.070959995,rice
60,49.0,44.0,6.244841491,rice
84,51.0,35.0,6.043304899,rice
73,57.0,41.0,5.824709117,rice
92,35.0,40.0,6.3573893660000005,rice
85,37.0,39.0,6.364134967999999,rice
98,53.0,38.0,5.01450727,rice
88,54.0,44.0,6.149410611,rice
95,55.0,42.0,5.950660556,rice
99,57.0,35.0,5.960370061,rice
95,39.0,36.0,5.561398642,rice
60,43.0,44.0,7.416245107000001,rice
63,44.0,41.0,5.583370042,rice
62,42.0,36.0,6.430010215,rice
64,45.0,43.0,5.534878156,rice
83,60.0,36.0,6.903985986,rice
82,40.0,40.0,6.271478837999999,rice
85,52.0,45.0,7.224285503,rice
91,35.0,38.0,6.13428721,rice
76,49.0,42.0,5.206373153,rice
74,39.0,38.0,7.782051312999999,rice
79,43.0,39.0,7.062779015,rice
88,55.0,45.0,7.730367824,rice
60,36.0,43.0,5.286203711000001,rice
76,60.0,39.0,6.766240045,rice
93,56.0,42.0,7.382762603,rice
65,60.0,43.0,5.658169482000001,rice
95,52.0,36.0,5.543360237999999,rice
75,38.0,39.0,6.215109715,rice
74,54.0,38.0,7.120272972,rice
91,36.0,45.0,5.950647577000001,rice
71,46.0,40.0,7.236705436,rice
99,55.0,35.0,6.501697816,rice
72,40.0,38.0,7.592490617,rice
83,58.0,45.0,5.875345751,rice
93,58.0,38.0,6.932400225,rice
70,36.0,42.0,6.9462098810000015,rice
76,47.0,42.0,5.739175027000001,rice
99,41.0,36.0,6.738652179,rice
99,54.0,37.0,5.5948196260000005,rice
86,59.0,35.0,6.946636369,rice
69,46.0,41.0,5.012139669,rice
91,56.0,37.0,6.363472207999999,rice
61,52.0,41.0,6.880431223,rice
67,45.0,38.0,7.300410836,rice
79,42.0,37.0,6.587918707999999,rice
78,43.0,42.0,7.283736617000001,rice
75,54.0,36.0,7.023936392,rice
97,36.0,45.0,6.939083505,rice
67,47.0,44.0,7.868474653,rice
73,35.0,38.0,5.005306977,rice
77,36.0,37.0,6.136131869,rice
81,41.0,38.0,7.5240800760000015,rice
68,57.0,43.0,5.706943251,rice
72,45.0,35.0,5.758506323,rice
61,53.0,43.0,6.349606327,rice
67,43.0,39.0,5.9999690260000005,rice
67,58.0,39.0,5.453592032,rice
66,60.0,38.0,6.372576327000001,rice
82,43.0,38.0,5.105588355,rice
84,50.0,44.0,5.9353444060000005,rice
81,53.0,42.0,5.17782304,rice
91,50.0,40.0,6.462391607000001,rice
93,53.0,38.0,7.069172227,rice
90,44.0,38.0,7.473134377,rice
81,45.0,35.0,6.158376967000001,rice
78,40.0,38.0,7.549873681,rice
60,51.0,36.0,6.028321557999999,rice
88,46.0,42.0,6.604993475,rice
93,47.0,37.0,6.500343222000001,rice
60,55.0,45.0,5.935745417000001,rice
78,35.0,44.0,7.072655622,rice
65,37.0,40.0,5.333322606,rice
71,54.0,16.0,5.7499144210000015,maize
61,44.0,17.0,6.931756557999999,maize
80,43.0,16.0,6.657964753,maize
73,58.0,21.0,6.596060648,maize
61,38.0,20.0,5.970458434,maize
68,41.0,16.0,6.158830619,maize
93,41.0,17.0,6.047906679,maize
89,60.0,19.0,5.913664501,maize
76,44.0,17.0,5.855442401,maize
67,60.0,25.0,5.750254943,maize
70,44.0,19.0,5.852607099,maize
90,49.0,21.0,6.4725232870000005,maize
62,52.0,16.0,6.9670577620000005,maize
92,44.0,16.0,6.082973754,maize
66,54.0,21.0,5.919045532,maize
63,58.0,22.0,6.204747652999999,maize
70,47.0,17.0,6.600827017,maize
61,41.0,17.0,6.021902237000001,maize
66,53.0,19.0,6.033550195,maize
74,55.0,19.0,6.28886807,maize
77,57.0,21.0,6.550563822999999,maize
99,50.0,15.0,5.573286437,maize
74,56.0,22.0,6.829199275,maize
83,45.0,21.0,5.716222912,maize
100,48.0,16.0,5.54990242,maize
79,51.0,16.0,6.586244581,maize
94,39.0,18.0,5.893093135,maize
75,49.0,15.0,5.918263801,maize
78,48.0,22.0,5.588650585,maize
87,54.0,20.0,6.576418207000001,maize
87,35.0,25.0,6.178056304,maize
63,43.0,19.0,6.641906353,maize
84,57.0,25.0,6.489040367,maize
64,35.0,23.0,5.680361037999999,maize
60,46.0,22.0,6.625404347999999,maize
98,44.0,21.0,6.524478032,maize
75,56.0,18.0,5.696205468,maize
86,55.0,21.0,6.803931519,maize
98,35.0,18.0,6.252797547999999,maize
76,57.0,18.0,6.092725883,maize
99,56.0,17.0,6.234330356,maize
60,44.0,23.0,5.722579819,maize
74,48.0,17.0,6.430616465,maize
89,60.0,17.0,5.983952675,maize
69,51.0,23.0,6.80163854,maize
96,46.0,22.0,6.499936446,maize
61,60.0,15.0,6.265564338,maize
74,58.0,18.0,6.727303282,maize
74,43.0,23.0,6.325235159,maize
63,43.0,17.0,6.807487794,maize
99,36.0,20.0,6.671085817000001,maize
77,36.0,23.0,6.648725327,maize
87,60.0,23.0,6.439071996,maize
60,38.0,17.0,6.474476516,maize
94,54.0,17.0,5.871647806,maize
95,38.0,22.0,5.730617109,maize
84,44.0,21.0,5.850439831,maize
77,58.0,19.0,5.791649933,maize
66,44.0,20.0,6.740000687999999,maize
63,35.0,16.0,6.272417541,maize
79,45.0,20.0,5.715208817000001,maize
72,60.0,25.0,5.773454729,maize
67,51.0,24.0,5.584171461,maize
86,36.0,24.0,5.787268394,maize
76,48.0,18.0,5.77597783,maize
75,53.0,18.0,6.864793607,maize
81,45.0,23.0,6.192360002999999,maize
73,45.0,21.0,6.636803222999999,maize
71,35.0,24.0,5.826426917,maize
